B4B0+7 捶 ⿰扌⿳丿⑥一
B4B0+8 锤 ⿰钅⿳丿⑥一
B4B0+9 垂 ⿳丿⑥一
B4B0+A 春 ⿱𡗗日
B4B0+B 椿 ⿰木⿱𡗗日
B4B0+C 醇 ⿰酉⿳亠口子
B4B0+D 唇 ⿸⿸厂⿱二⿰𠄌⿺乀丿口
B4B0+E 淳 ⿰氵⿳亠口子
B4B0+F 纯 ⿰纟⿻丿𡳾
B4C0+0 蠢 ⿱⿱𡗗日䖵
B4C0+1 戳 ⿰⿱羽隹⿻弋丿
B4C0+2 绰 ⿰纟⿱⺊早
B4C0+3 疵 ⿸疒⿰止匕
B4C0+4 茨 ⿱⿻十丨⿰冫欠
B4C0+5 磁 ⿰⿸丆口⿱䒑𢆶
B4C0+6 雌 ⿰⿰止匕隹
B4C0+7 辞 ⿰⿱千口⿱立十
B4C0+8 慈 ⿱⿱䒑𢆶心
B4C0+9 瓷 ⿱⿰冫欠瓦
B4C0+A 词 ⿰讠⿹𠃌𠮛
B4C0+B 此 ⿰止⿺乚丿
B4C0+C 刺 ⿰朿刂
B4C0+D 赐 ⿰贝⿱日勿
B4C0+E 次 ⿰冫欠
B4C0+F 聪 ⿰耳⿱𠮦心
B4D0+0 葱 ⿱⿻十丨怱
B4D0+1 囱 ⿴⿱丿囗夂
B4D0+2 匆 ⿻⿹勹⿱丿丿丶
B4D0+3 从 ⿰人人
B4D0+4 丛 ⿱⿰人人一
B4D0+5 凑 ⿰冫⿱𡗗天
B4D0+6 粗 ⿰米且
B4D0+7 醋 ⿰酉⿱龷日
B4D0+8 簇 ⿱⿰亇亇⿰方⿱𠂉矢
B4D0+9 促 ⿰亻⿱口龰
B4D0+A 蹿 ⿰𧾷⿱穴串
B4D0+B 篡 ⿱𮅕厶
B4D0+C 窜 ⿱⿱宀八⿻吕丨
B4D0+D 摧 ⿰扌⿱山隹
B4D0+E 崔 ⿱山隹
B4D0+F 催 ⿰亻⿱山隹
B4E0+0 脆 ⿰月⿸厃㔾
B4E0+1 瘁 ⿸疒⿱𠅃十
B4E0+2 粹 ⿰米⿱𠅃十
B4E0+3 淬 ⿰氵⿱𠅃十
B4E0+4 翠 ⿱⿰习习⿱𠅃十
B4E0+5 村 ⿰木寸
B4E0+6 存 ⿸③子
B4E0+7 寸 寸
B4E0+8 磋 ⿰⿸丆口⿸羊工
B4E0+9 撮 ⿰扌⿱日取
B4E0+A 搓 ⿰扌⿸羊工
B4E0+B 措 ⿰扌⿱龷日
B4E0+C 挫 ⿰扌⿻土从
B4E0+D 错 ⿰钅⿱龷日
B4E0+E 搭 ⿰扌荅
B4E0+F 达 ⿺辶⿻一人
B4F0+0 答 ⿱⿰亇亇⿱亼口
B4F0+1 瘩 ⿸疒荅
B4F0+2 打 ⿰扌⿱一亅
B4F0+3 大 ⿻一人
B4F0+4 呆 ⿱口木
B4F0+5 歹 ⿱一⿴𠂊丶
B4F0+6 傣 ⿰亻⿱𡗗氺
B4F0+7 戴 ⿹𢦏異
B4F0+8 带 ⿳⿻川一冖巾
B4F0+9 殆 ⿰⿱一夕⿱厶口
B4F0+A 代 ⿰亻⿺𫠠丶
B4F0+B 贷 ⿱⿰亻弋贝
B4F0+C 袋 ⿱⿰亻弋⿱亠𧘇
B4F0+D 待 ⿰彳⿱土寸
B4F0+E 逮 ⿺辶隶
B5A0+1 怠 ⿱⿱厶口心
B5A0+2 耽 ⿰耳冘
B5A0+3 担 ⿰扌⿱日一
B5A0+4 丹 丹
B5A0+5 单 ⿱丷⿻甲一
B5A0+6 郸 ⿰⿱丷⿻甲一阝
B5A0+7 掸 ⿰扌⿱丷⿻甲一
B5A0+8 胆 ⿰月⿱日一
B5A0+9 旦 ⿱日一
B5A0+A 氮 ⿹⿳𠂉一乁⿱火火
B5A0+B 但 ⿰亻⿱日一
B5A0+C 惮 ⿰忄⿱丷⿻甲一
B5A0+D 淡 ⿰氵⿱火火
B5A0+E 诞 ⿰讠⿺廴⿱丿③
B5A0+F 弹 ⿰弓⿱丷⿻甲一
B5B0+0 蛋 ⿱疋虫
B5B0+1 当 ⿱⺌彐
B5B0+2 挡 ⿰扌⿱⺌彐
B5B0+3 党 ⿱龸⿱口儿
B5B0+4 荡 ⿱⿻十丨⿰氵𠃓
B5B0+5 档 ⿰木⿱⺌彐
B5B0+6 刀 ⿹𠃌丿
B5B0+7 捣 ⿰扌⿹④山
B5B0+8 蹈 ⿰𧾷⿱爫臼
B5B0+9 倒 ⿰亻⿰至刂
B5B0+A 岛 ⿹④山
B5B0+B 祷 ⿰礻⿸丰寸
B5B0+C 导 ⿱巳寸
B5B0+D 到 ⿰⿱𠫔土刂
B5B0+E 稻 ⿰⿱丿木⿱爫臼
B5B0+F 悼 ⿰忄⿱⺊早
B5C0+0 道 ⿺辶⿱䒑自
B5C0+1 盗 ⿱⿰冫欠皿
B5C0+2 德 ⿰彳𢛳
B5C0+3 得 ⿰彳㝵
B5C0+4 的 ⿰白⿹勹丶
B5C0+5 蹬 ⿰𧾷⿱癶豆
B5C0+6 灯 ⿰⿱八人⿱一亅
B5C0+7 登 ⿱癶豆
B5C0+8 等 ⿱⿰亇亇⿱土寸
B5C0+9 瞪 ⿰目⿱癶豆
B5C0+A 凳 ⿱⿱癶豆几
B5C0+B 邓 ⿰又阝
B5C0+C 堤 ⿰⿱十一⿱日𤴓
B5C0+D 低 ⿰亻⿱氏丶
B5C0+E 滴 ⿰氵啇
B5C0+F 迪 ⿺辶由
B5D0+0 敌 ⿰⿱千口攵
B5D0+1 笛 ⿱⿰亇亇由
B5D0+2 狄 ⿰犭⿱八人
B5D0+3 涤 ⿰氵⿱夂朩
B5D0+4 翟 ⿱⿰习习隹
B5D0+5 嫡 ⿰女啇
B5D0+6 抵 ⿰扌⿱氏丶
B5D0+7 底 ⿸广⿱氏丶
B5D0+8 地 ⿰⿱十一也
B5D0+9 蒂 ⿱⿻十丨⿱⿱⿱亠丷冖巾
B5D0+A 第 ⿱⿰亇亇𢎨
B5D0+B 帝 ⿱⿱⿱⿱丶一丷冖巾
B5D0+C 弟 ⿱丷𢎨
B5D0+D 递 ⿺辶⿱丷𢎨
B5D0+E 缔 ⿰纟⿱⿱⿱亠丷冖巾
B5D0+F 颠 ⿰⿱十具页
B5E0+0 掂 ⿰扌⿸广占
B5E0+1 滇 ⿰氵⿱十具
B5E0+2 碘 ⿰⿸丆口⿱⑥八
B5E0+3 点 ⿱⿱⺊口灬
B5E0+4 典 ⿱⑥八
B5E0+5 靛 ⿰⿱龶月⿱宀𤴓
B5E0+6 垫 ⿱⿰扌丸⿱十一
B5E0+7 电 ⿻日乚
B5E0+8 佃 ⿰亻田
B5E0+9 甸 ⿹勹田
B5E0+A 店 ⿸广⿱⺊口
B5E0+B 惦 ⿰忄⿸广占
B5E0+C 奠 ⿱⿱丷酉⿻一人
B5E0+D 淀 ⿰氵⿱宀𤴓
B5E0+E 殿 ⿰𡱒⿱𠘧又
B5E0+F 碉 ⿰⿸丆口⿵⺆𠮷
B5F0+0 叼 ⿰口⿹𠃌㇀
